OBJECTID,Naam,FREQUENCY,COUNT_Naam
1, ,3182,3182
2,Binnenduinrand,268,268
3,Binnenduinrand met zandwallen en schurvelingen,25,25
4,Droogmakerij,237,237
5,Gorecht,47,47
6,Groene Ontwikkelzone,5194,5194
7,Kleipolders,575,575
8,Kleipolders met zandwallen en schurvelingen,17,17
9,Landschapszoekgebied Zeeland 2019,974,974
10,Middag Humsterland,2,2
11,Overig zoekgebied,104,104
12,Provincie Limburg,5071,5071
13,Veenweidegebied,743,743
14,Veenweidegebied met veenputten,75,75
15,Weidevogelgebied,150,150
16,Westerwolde,76,76
17,Zuidelijk Westerkwartier,58,58
